checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
1 - 200 DM,36,good,car,0 - 10000,< 100 DM,< 1 year,1,4,28,none,rent,1,management,1,yes
unknown,24,poor,car,0 - 10000,< 100 DM,4 - 7 years,3,3,35,none,own,2,unskilled,1,no
unknown,10,good,car,0 - 10000,< 100 DM,1 - 4 years,2,4,64,none,own,1,skilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,27,store,own,1,skilled,1,no
< 0 DM,21,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,1,4,26,none,rent,1,unskilled,1,no
< 0 DM,60,good,business,0 - 10000,< 100 DM,> 7 years,4,4,36,none,rent,1,skilled,1,yes
unknown,39,good,car,0 - 10000,100 - 500 DM,> 7 years,4,2,45,none,own,1,management,1,no
< 0 DM,42,poor,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,2,26,bank,own,2,skilled,2,yes
< 0 DM,6,critical,car,0 - 10000,< 100 DM,< 1 year,2,4,40,none,own,1,unskilled,2,no
1 - 200 DM,30,good,furniture/appliances,0 - 10000,100 - 500 DM,1 - 4 years,2,4,21,none,rent,1,skilled,1,yes
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,2,no
unknown,12,critical,education,0 - 10000,< 100 DM,4 - 7 years,2,3,49,none,own,1,unskilled,2,no
< 0 DM,48,good,car,10000 - 30000,< 100 DM,4 - 7 years,4,4,39,store,other,3,skilled,2,yes
< 0 DM,12,good,car,0 - 10000,< 100 DM,1 - 4 years,4,3,27,none,own,1,unskilled,1,no
< 0 DM,21,poor,education,0 - 10000,< 100 DM,< 1 year,2,1,26,none,own,2,skilled,1,yes
unknown,24,good,furniture/appliances,0 - 10000,100 - 500 DM,4 - 7 years,4,3,26,none,own,1,skilled,1,no
> 200 DM,12,critical,car,0 - 10000,500 - 1000 DM,4 - 7 years,4,2,28,none,own,3,skilled,1,yes
1 - 200 DM,15,good,car,0 - 10000,100 - 500 DM,1 - 4 years,2,4,28,none,rent,2,skilled,1,yes
unknown,36,good,business,0 - 10000,100 - 500 DM,4 - 7 years,2,2,31,none,own,2,skilled,1,no
> 200 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,1,24,none,own,1,skilled,1,no
1 - 200 DM,15,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,50,none,own,2,skilled,1,no
unknown,24,good,car,0 - 10000,100 - 500 DM,< 1 year,4,3,33,none,own,1,skilled,1,no
< 0 DM,18,very good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,3,4,36,bank,other,1,management,1,no
unknown,12,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,2,26,none,own,2,skilled,1,no
unknown,15,good,car,0 - 10000,unknown,> 7 years,4,4,45,bank,other,1,skilled,2,no
unknown,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,1,36,none,own,1,management,1,no
1 - 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,37,none,own,1,unskilled,1,yes
unknown,24,critical,car,0 - 10000,> 1000 DM,1 - 4 years,4,2,27,none,own,2,skilled,1,no
unknown,24,good,car,0 - 10000,< 100 DM,< 1 year,4,1,29,none,own,1,management,1,no
1 - 200 DM,12,critical,car,0 - 10000,< 100 DM,4 - 7 years,2,3,47,none,own,2,unskilled,2,no
unknown,18,good,furniture/appliances,0 - 10000,unknown,< 1 year,4,2,21,none,rent,1,skilled,1,no
unknown,18,poor,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,1,22,none,own,1,skilled,1,yes
< 0 DM,48,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,46,none,other,2,skilled,1,yes
1 - 200 DM,24,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,1,4,48,none,own,1,unskilled,1,no
< 0 DM,24,very good,business,0 - 10000,< 100 DM,1 - 4 years,4,2,31,none,rent,1,skilled,1,yes
1 - 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,27,none,own,2,unskilled,1,no
unknown,30,critical,furniture/appliances,0 - 10000,unknown,4 - 7 years,2,3,36,none,own,2,skilled,1,no
1 - 200 DM,60,poor,furniture/appliances,0 - 10000,unknown,1 - 4 years,2,2,27,none,other,1,management,1,no
unknown,12,good,car,0 - 10000,< 100 DM,1 - 4 years,3,2,27,none,own,2,skilled,1,no
1 - 200 DM,12,perfect,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,25,none,rent,2,skilled,1,yes
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,28,none,own,1,skilled,1,no
> 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,37,store,own,1,skilled,1,yes
< 0 DM,12,very good,education,0 - 10000,< 100 DM,> 7 years,4,1,45,bank,own,1,unskilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,32,none,own,1,skilled,1,yes
unknown,6,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,2,29,none,rent,1,skilled,1,no
unknown,22,good,car,0 - 10000,unknown,4 - 7 years,4,4,25,none,rent,1,skilled,1,no
> 200 DM,10,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,63,none,other,2,skilled,1,no
unknown,21,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,no
unknown,18,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,26,none,own,2,skilled,1,no
unknown,24,good,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,3,2,26,none,own,1,management,1,no
unknown,12,good,business,0 - 10000,< 100 DM,4 - 7 years,2,4,36,none,own,1,skilled,1,no
unknown,15,very good,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,4,4,34,bank,own,1,unskilled,2,no
< 0 DM,15,good,car,0 - 10000,< 100 DM,1 - 4 years,2,4,28,none,rent,1,skilled,1,no
unknown,20,critical,car,0 - 10000,unknown,< 1 year,2,4,44,none,own,2,skilled,1,no
1 - 200 DM,24,good,car,10000 - 30000,< 100 DM,1 - 4 years,1,4,23,none,rent,2,management,1,yes
unknown,24,good,car,0 - 10000,< 100 DM,1 - 4 years,2,2,31,none,own,1,skilled,1,no
1 - 200 DM,18,critical,car,0 - 10000,< 100 DM,> 7 years,3,3,30,bank,own,2,skilled,1,yes
1 - 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,1,1,23,none,rent,1,skilled,1,yes
