checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
unknown,36,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,31,store,own,2,skilled,1,no
unknown,11,critical,car,0 - 10000,< 100 DM,1 - 4 years,1,4,39,none,own,2,unskilled,1,no
unknown,24,good,car,0 - 10000,> 1000 DM,1 - 4 years,2,4,28,none,rent,1,skilled,1,no
unknown,30,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,2,38,none,own,1,skilled,1,no
1 - 200 DM,24,good,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,4,4,30,none,other,1,skilled,1,no
unknown,24,critical,car,0 - 10000,unknown,4 - 7 years,4,4,43,none,own,2,skilled,2,no
1 - 200 DM,48,perfect,car,0 - 10000,500 - 1000 DM,< 1 year,1,1,30,none,own,2,skilled,1,no
1 - 200 DM,12,critical,car,0 - 10000,500 - 1000 DM,4 - 7 years,3,3,36,none,own,1,management,1,no
1 - 200 DM,11,critical,car,0 - 10000,> 1000 DM,1 - 4 years,4,4,40,none,own,2,skilled,1,no
1 - 200 DM,6,poor,furniture/appliances,0 - 10000,< 100 DM,unemployed,4,1,35,store,own,2,management,1,no
< 0 DM,30,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,1,3,39,none,own,1,skilled,2,no
1 - 200 DM,18,critical,business,0 - 10000,< 100 DM,unemployed,3,3,40,none,own,3,unemployed,2,no
unknown,15,poor,car,0 - 10000,< 100 DM,< 1 year,1,2,46,none,own,2,unskilled,1,no
> 200 DM,18,good,car,0 - 10000,< 100 DM,> 7 years,3,2,23,none,own,1,management,1,no
> 200 DM,6,good,car,0 - 10000,> 1000 DM,< 1 year,2,2,27,none,own,1,unemployed,1,no
< 0 DM,12,poor,car,0 - 10000,< 100 DM,1 - 4 years,4,2,43,none,own,2,unskilled,2,no
> 200 DM,18,very good,furniture/appliances,0 - 10000,unknown,4 - 7 years,4,4,49,bank,own,1,unskilled,1,no
1 - 200 DM,12,critical,car,0 - 10000,100 - 500 DM,< 1 year,3,4,44,none,own,1,skilled,1,no
< 0 DM,18,critical,car,0 - 10000,< 100 DM,> 7 years,1,4,33,bank,rent,3,skilled,1,yes
1 - 200 DM,36,good,education,0 - 10000,unknown,1 - 4 years,2,2,27,none,own,1,skilled,1,no
1 - 200 DM,36,good,education,10000 - 30000,100 - 500 DM,1 - 4 years,1,4,47,none,other,1,skilled,2,yes
< 0 DM,24,good,car,0 - 10000,< 100 DM,4 - 7 years,2,3,31,none,own,1,skilled,1,yes
unknown,12,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,4,63,none,own,2,unskilled,1,no
unknown,24,good,education,0 - 10000,< 100 DM,< 1 year,4,3,27,none,own,2,unskilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,2,39,none,rent,1,management,1,yes
unknown,18,good,car,0 - 10000,unknown,1 - 4 years,2,1,31,none,own,1,skilled,1,no
unknown,9,good,car,0 - 10000,500 - 1000 DM,> 7 years,2,4,51,none,other,1,unskilled,1,no
< 0 DM,30,perfect,business,0 - 10000,unknown,< 1 year,2,3,25,bank,own,3,skilled,1,no
1 - 200 DM,18,poor,car,0 - 10000,unknown,> 7 years,4,4,43,none,own,1,skilled,2,no
unknown,12,critical,business,0 - 10000,< 100 DM,1 - 4 years,3,2,27,none,own,2,skilled,1,no
1 - 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,1,1,22,none,own,1,skilled,1,no
< 0 DM,12,critical,car,0 - 10000,< 100 DM,> 7 years,4,3,35,none,own,2,skilled,1,yes
> 200 DM,42,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,56,none,other,1,skilled,1,no
unknown,36,critical,car,10000 - 30000,unknown,1 - 4 years,4,2,30,none,own,1,management,1,no
1 - 200 DM,48,perfect,car0,10000 - 30000,< 100 DM,1 - 4 years,1,2,32,bank,own,1,management,1,yes
1 - 200 DM,7,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,34,none,own,1,skilled,1,no
< 0 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,4,59,none,own,1,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,40,none,own,1,unskilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,100 - 500 DM,1 - 4 years,4,2,32,none,own,1,unskilled,1,yes
< 0 DM,24,good,car,0 - 10000,unknown,> 7 years,2,4,26,none,rent,1,skilled,1,no
1 - 200 DM,24,good,car,0 - 10000,100 - 500 DM,4 - 7 years,2,3,38,bank,own,2,skilled,1,no
unknown,18,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,3,2,35,none,own,2,management,1,no
1 - 200 DM,24,good,furniture/appliances,0 - 10000,100 - 500 DM,< 1 year,2,1,29,none,own,1,skilled,1,no
unknown,12,critical,furniture/appliances,0 - 10000,500 - 1000 DM,4 - 7 years,3,4,37,none,rent,1,skilled,1,no
unknown,24,good,car,0 - 10000,100 - 500 DM,> 7 years,4,4,41,none,rent,1,unskilled,1,no
< 0 DM,24,very good,car,0 - 10000,< 100 DM,unemployed,1,4,29,none,rent,2,unemployed,1,yes
> 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,1,2,46,none,own,1,unskilled,1,no
unknown,15,good,car,0 - 10000,500 - 1000 DM,> 7 years,1,4,35,none,other,1,skilled,1,no
< 0 DM,27,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,27,none,own,1,management,1,no
< 0 DM,30,perfect,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,32,none,own,2,skilled,1,no
unknown,30,good,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,58,none,own,1,skilled,1,no
< 0 DM,20,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,1,4,24,none,own,2,skilled,1,no
< 0 DM,20,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,4,4,39,none,own,1,skilled,1,no
unknown,24,good,car,0 - 10000,< 100 DM,> 7 years,4,4,62,none,other,1,skilled,1,no
unknown,15,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,46,none,own,2,skilled,1,no
unknown,10,critical,furniture/appliances,0 - 10000,unknown,1 - 4 years,2,1,26,none,own,2,skilled,1,no
1 - 200 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,4,24,none,rent,1,skilled,1,no
< 0 DM,36,good,car,0 - 10000,< 100 DM,4 - 7 years,2,1,24,none,own,1,skilled,1,yes
unknown,11,critical,furniture/appliances,0 - 10000,100 - 500 DM,unemployed,4,4,57,none,own,3,unskilled,1,no
< 0 DM,30,good,car,0 - 10000,< 100 DM,1 - 4 years,4,4,40,none,own,1,management,1,no
1 - 200 DM,60,good,education,0 - 10000,< 100 DM,1 - 4 years,4,4,42,none,other,1,skilled,1,yes
1 - 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,3,40,bank,own,2,unskilled,1,no
< 0 DM,24,very good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,1,55,bank,own,1,skilled,1,yes
1 - 200 DM,12,good,business,0 - 10000,100 - 500 DM,4 - 7 years,3,4,39,none,own,1,unskilled,1,no
< 0 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,2,42,none,own,1,skilled,2,yes
1 - 200 DM,48,good,furniture/appliances,10000 - 30000,> 1000 DM,4 - 7 years,1,2,27,bank,own,2,skilled,1,yes
unknown,28,very good,car,0 - 10000,unknown,< 1 year,3,4,40,bank,rent,2,skilled,2,no
< 0 DM,8,critical,car0,0 - 10000,< 100 DM,> 7 years,3,4,51,bank,other,2,management,2,no
1 - 200 DM,36,poor,business,0 - 10000,100 - 500 DM,4 - 7 years,1,3,31,none,own,2,unskilled,2,no
< 0 DM,12,good,furniture/appliances,0 - 10000,100 - 500 DM,unemployed,4,3,22,none,own,1,skilled,1,yes
< 0 DM,24,good,car,0 - 10000,unknown,4 - 7 years,4,4,32,none,rent,1,skilled,1,yes
unknown,36,good,education,0 - 10000,unknown,1 - 4 years,2,4,35,none,other,1,unskilled,2,no
> 200 DM,12,poor,car,0 - 10000,< 100 DM,1 - 4 years,2,2,36,store,own,2,skilled,1,no
< 0 DM,24,good,car,0 - 10000,< 100 DM,> 7 years,4,1,45,none,own,1,skilled,1,yes
< 0 DM,12,good,car,0 - 10000,< 100 DM,< 1 year,3,1,37,none,own,1,unskilled,1,yes
< 0 DM,11,critical,car,0 - 10000,< 100 DM,1 - 4 years,1,2,40,none,own,2,unskilled,2,no
< 0 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,unemployed,4,3,30,none,own,1,management,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,100 - 500 DM,< 1 year,4,3,33,none,own,1,unskilled,1,yes
> 200 DM,24,good,car,0 - 10000,< 100 DM,4 - 7 years,4,3,38,bank,other,1,skilled,2,yes
< 0 DM,24,poor,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,4,48,store,own,1,skilled,1,yes
> 200 DM,21,critical,education,0 - 10000,< 100 DM,< 1 year,2,1,33,none,rent,1,skilled,1,yes
< 0 DM,30,good,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,31,none,own,1,skilled,1,yes
< 0 DM,28,good,car,0 - 10000,< 100 DM,1 - 4 years,3,2,45,none,own,1,unskilled,1,yes
unknown,10,good,car,0 - 10000,100 - 500 DM,1 - 4 years,1,2,32,none,own,1,skilled,2,no
unknown,36,good,furniture/appliances,0 - 10000,unknown,> 7 years,2,4,45,none,own,1,unskilled,1,no
unknown,36,good,car,0 - 10000,< 100 DM,1 - 4 years,2,2,32,none,other,1,management,1,no
1 - 200 DM,10,good,car,0 - 10000,< 100 DM,unemployed,2,4,70,bank,other,1,management,1,no
< 0 DM,14,good,car,0 - 10000,< 100 DM,unemployed,1,4,22,none,other,1,skilled,1,no
1 - 200 DM,48,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,4,28,none,own,2,skilled,1,yes
unknown,24,poor,furniture/appliances,0 - 10000,100 - 500 DM,1 - 4 years,2,3,35,none,own,2,skilled,1,no
unknown,12,very good,education,0 - 10000,500 - 1000 DM,1 - 4 years,4,3,35,none,own,1,unskilled,2,no
1 - 200 DM,27,good,business,0 - 10000,< 100 DM,1 - 4 years,4,2,36,none,own,1,skilled,2,yes
unknown,15,good,furniture/appliances,0 - 10000,unknown,> 7 years,4,2,35,none,own,1,skilled,1,no
1 - 200 DM,24,good,car,0 - 10000,< 100 DM,< 1 year,4,1,26,none,own,1,skilled,1,no
< 0 DM,6,good,car,0 - 10000,< 100 DM,< 1 year,3,4,41,none,own,1,unskilled,2,no
unknown,60,critical,car,10000 - 30000,unknown,> 7 years,2,4,63,bank,other,1,management,1,no
1 - 200 DM,24,good,car,0 - 10000,< 100 DM,< 1 year,4,2,23,store,own,1,unskilled,1,yes
unknown,12,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,4,2,21,none,own,1,skilled,1,no
unknown,18,perfect,business,0 - 10000,< 100 DM,1 - 4 years,2,2,36,store,own,2,skilled,2,yes
< 0 DM,42,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,4,45,none,other,1,skilled,2,no
unknown,12,poor,car,0 - 10000,< 100 DM,1 - 4 years,4,4,41,none,rent,1,skilled,1,no
< 0 DM,10,critical,furniture/appliances,0 - 10000,unknown,< 1 year,2,3,27,none,rent,2,skilled,1,no
< 0 DM,18,good,car,0 - 10000,< 100 DM,< 1 year,4,3,23,none,rent,1,skilled,1,yes
< 0 DM,12,critical,car,0 - 10000,< 100 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,no
unknown,30,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no
unknown,18,poor,business,0 - 10000,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,yes
1 - 200 DM,24,poor,furniture/appliances,0 - 10000,< 100 DM,unemployed,3,2,34,none,own,1,management,1,yes
1 - 200 DM,7,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,35,none,own,1,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,24,none,rent,1,skilled,1,no
unknown,6,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,2,51,none,own,1,skilled,2,no
1 - 200 DM,12,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,2,1,25,none,own,1,skilled,1,yes
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,38,none,own,1,skilled,1,no
< 0 DM,12,good,car,0 - 10000,< 100 DM,1 - 4 years,4,4,29,none,own,1,skilled,1,no
1 - 200 DM,6,good,car,10000 - 30000,unknown,unemployed,1,2,23,none,own,1,unemployed,1,yes
< 0 DM,11,critical,car,0 - 10000,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no
1 - 200 DM,20,perfect,car,0 - 10000,100 - 500 DM,> 7 years,3,4,31,bank,own,2,skilled,1,no
unknown,24,poor,business,0 - 10000,500 - 1000 DM,1 - 4 years,4,2,44,none,own,2,skilled,2,no
unknown,6,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,1,2,21,none,rent,1,skilled,1,no
< 0 DM,36,good,education,0 - 10000,unknown,> 7 years,4,4,40,none,own,1,management,1,yes
< 0 DM,48,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,58,store,other,2,unskilled,1,yes
unknown,36,poor,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,34,none,own,2,skilled,1,no
1 - 200 DM,9,good,business,0 - 10000,< 100 DM,1 - 4 years,2,1,27,bank,own,1,skilled,1,no
unknown,9,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,1,4,20,none,own,1,skilled,1,no
1 - 200 DM,48,very good,business,0 - 10000,< 100 DM,> 7 years,4,3,59,none,rent,1,skilled,1,yes
< 0 DM,24,very good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,4,24,bank,rent,1,unskilled,1,yes
< 0 DM,48,very good,business,0 - 10000,< 100 DM,4 - 7 years,2,4,37,none,rent,1,skilled,1,yes
unknown,60,good,car,0 - 10000,unknown,1 - 4 years,4,4,34,none,other,1,skilled,2,no
unknown,6,critical,furniture/appliances,0 - 10000,unknown,1 - 4 years,1,2,34,none,own,2,unskilled,2,no
unknown,24,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,35,none,own,2,unskilled,1,no
1 - 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,25,none,own,1,unskilled,1,no
1 - 200 DM,8,good,business,0 - 10000,< 100 DM,< 1 year,3,2,26,none,own,1,skilled,1,no
unknown,24,good,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,3,2,31,none,own,1,skilled,2,no
unknown,24,good,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,3,2,35,bank,own,2,skilled,1,yes
< 0 DM,16,critical,car,0 - 10000,< 100 DM,> 7 years,2,4,43,bank,rent,1,skilled,1,yes
1 - 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,26,none,own,1,unskilled,2,no
