checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
unknown,15,good,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,2,4,20,none,rent,1,skilled,1,no
unknown,15,good,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,4,3,47,store,own,1,skilled,1,no
unknown,18,poor,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,1,22,none,own,1,skilled,1,yes
1 - 200 DM,15,very good,car,0 - 10000,100 - 500 DM,1 - 4 years,2,2,25,none,rent,1,skilled,1,yes
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,yes
unknown,12,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,61,none,own,2,unskilled,1,no
> 200 DM,12,good,furniture/appliances,0 - 10000,unknown,> 7 years,2,3,37,none,own,1,management,1,no
unknown,24,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,1,32,bank,own,1,skilled,2,no
1 - 200 DM,30,good,furniture/appliances,0 - 10000,100 - 500 DM,1 - 4 years,2,4,21,none,rent,1,skilled,1,yes
< 0 DM,45,perfect,business,10000 - 30000,< 100 DM,> 7 years,2,4,29,none,rent,2,skilled,1,yes
< 0 DM,12,critical,car,0 - 10000,< 100 DM,1 - 4 years,4,4,38,bank,own,2,unskilled,1,no
unknown,24,good,car,0 - 10000,< 100 DM,< 1 year,4,1,29,none,own,1,management,1,no
< 0 DM,30,perfect,business,0 - 10000,unknown,< 1 year,2,3,25,bank,own,3,skilled,1,no
1 - 200 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,3,64,none,own,1,skilled,1,no
1 - 200 DM,12,poor,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,20,none,rent,2,skilled,1,no
1 - 200 DM,7,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,35,none,own,1,skilled,1,no
< 0 DM,11,critical,car,0 - 10000,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no
> 200 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,41,none,own,1,skilled,1,no
< 0 DM,36,good,car0,10000 - 30000,< 100 DM,unemployed,2,3,43,none,own,1,management,1,no
1 - 200 DM,18,good,furniture/appliances,0 - 10000,unknown,< 1 year,4,3,27,none,rent,1,skilled,1,yes
unknown,15,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,3,24,bank,own,2,skilled,1,no
unknown,6,good,renovations,0 - 10000,500 - 1000 DM,4 - 7 years,2,4,23,none,rent,1,unskilled,1,no
1 - 200 DM,36,poor,car,0 - 10000,< 100 DM,1 - 4 years,2,2,54,none,rent,1,skilled,1,no
< 0 DM,11,critical,car,0 - 10000,< 100 DM,1 - 4 years,1,2,40,none,own,2,unskilled,2,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,3,47,none,own,1,unskilled,1,yes
1 - 200 DM,16,critical,car,0 - 10000,< 100 DM,unemployed,2,3,68,none,other,3,unemployed,1,no
unknown,12,good,car,0 - 10000,500 - 1000 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,yes
unknown,12,critical,car,0 - 10000,500 - 1000 DM,1 - 4 years,4,4,44,none,own,1,skilled,1,no
unknown,12,good,education,0 - 10000,< 100 DM,> 7 years,4,4,47,bank,own,3,skilled,2,no
unknown,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no
< 0 DM,24,good,car,0 - 10000,< 100 DM,< 1 year,4,4,24,none,rent,1,skilled,1,yes
unknown,12,good,car,0 - 10000,unknown,< 1 year,2,3,45,none,own,1,management,2,no
< 0 DM,30,critical,car,0 - 10000,100 - 500 DM,4 - 7 years,1,4,24,none,rent,2,skilled,1,no
1 - 200 DM,24,good,furniture/appliances,0 - 10000,100 - 500 DM,< 1 year,2,1,29,none,own,1,skilled,1,no
unknown,12,critical,car,0 - 10000,< 100 DM,> 7 years,4,1,38,none,own,2,unskilled,2,no
1 - 200 DM,12,good,renovations,0 - 10000,< 100 DM,1 - 4 years,4,2,30,none,own,1,skilled,1,yes
1 - 200 DM,48,very good,business,0 - 10000,< 100 DM,> 7 years,4,3,59,none,rent,1,skilled,1,yes
< 0 DM,21,critical,car,0 - 10000,< 100 DM,> 7 years,4,3,30,none,own,2,skilled,1,no
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,1,41,none,own,1,skilled,1,no
unknown,12,good,business,0 - 10000,< 100 DM,4 - 7 years,2,4,36,none,own,1,skilled,1,no
unknown,18,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,26,none,own,2,skilled,1,no
unknown,18,good,business,0 - 10000,100 - 500 DM,1 - 4 years,3,4,24,none,rent,1,unskilled,1,no
> 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,1,2,46,none,own,1,unskilled,1,no
1 - 200 DM,12,good,car,0 - 10000,> 1000 DM,> 7 years,4,4,54,none,own,1,skilled,1,no
unknown,9,critical,education,0 - 10000,500 - 1000 DM,> 7 years,4,2,52,none,own,2,skilled,1,no
1 - 200 DM,48,good,business,10000 - 30000,< 100 DM,1 - 4 years,2,2,23,none,own,1,skilled,1,yes
unknown,60,poor,furniture/appliances,10000 - 30000,< 100 DM,4 - 7 years,2,4,21,none,own,2,skilled,1,no
1 - 200 DM,8,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,4,24,none,own,1,skilled,1,yes
unknown,18,critical,education,0 - 10000,100 - 500 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,yes
1 - 200 DM,18,good,education,0 - 10000,unknown,1 - 4 years,4,4,61,none,other,1,skilled,1,no
unknown,27,critical,furniture/appliances,0 - 10000,> 1000 DM,< 1 year,4,2,32,store,own,2,unskilled,2,no
1 - 200 DM,48,very good,car,10000 - 30000,unknown,unemployed,4,4,36,none,other,1,management,1,no
1 - 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,26,bank,own,1,unskilled,1,no
< 0 DM,24,very good,car,0 - 10000,100 - 500 DM,4 - 7 years,2,3,32,bank,own,1,skilled,1,no
> 200 DM,15,critical,car,0 - 10000,500 - 1000 DM,1 - 4 years,2,2,36,none,own,1,skilled,1,no
unknown,30,good,car,0 - 10000,unknown,4 - 7 years,2,4,24,store,rent,1,unskilled,1,no
unknown,24,critical,education,0 - 10000,< 100 DM,> 7 years,4,4,54,none,other,2,skilled,2,no
unknown,18,good,car,0 - 10000,< 100 DM,1 - 4 years,2,2,30,none,own,1,management,1,no
1 - 200 DM,48,poor,car0,0 - 10000,100 - 500 DM,unemployed,2,4,31,none,other,1,management,1,no
< 0 DM,9,good,car,0 - 10000,< 100 DM,< 1 year,3,2,27,none,other,1,management,1,yes
unknown,11,good,business,0 - 10000,> 1000 DM,> 7 years,1,2,28,none,own,1,skilled,1,no
1 - 200 DM,14,good,business,0 - 10000,500 - 1000 DM,> 7 years,1,2,35,none,own,1,skilled,1,no
> 200 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,2,31,none,own,1,skilled,1,no
unknown,36,good,furniture/appliances,10000 - 30000,< 100 DM,unemployed,4,2,26,none,own,2,management,1,yes
