checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
1 - 200 DM,72,good,furniture/appliances,0 - 10000,100 - 500 DM,1 - 4 years,2,2,24,none,own,1,skilled,1,yes
unknown,24,critical,business,0 - 10000,100 - 500 DM,1 - 4 years,3,3,27,none,own,2,unskilled,1,no
unknown,18,critical,car,0 - 10000,< 100 DM,4 - 7 years,3,1,27,none,own,2,skilled,1,no
< 0 DM,15,perfect,car,0 - 10000,< 100 DM,> 7 years,4,3,33,none,rent,2,skilled,2,yes
unknown,24,critical,car0,0 - 10000,< 100 DM,unemployed,4,2,27,bank,own,2,management,1,no
unknown,36,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,34,none,own,2,management,1,no
unknown,12,good,business,0 - 10000,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,no
unknown,12,critical,business,0 - 10000,unknown,> 7 years,4,4,57,none,rent,1,unskilled,1,no
< 0 DM,6,very good,education,0 - 10000,< 100 DM,> 7 years,4,4,35,none,other,1,skilled,1,yes
unknown,24,critical,car,0 - 10000,> 1000 DM,> 7 years,4,4,60,none,own,1,skilled,1,no
unknown,12,good,education,0 - 10000,< 100 DM,> 7 years,4,4,41,bank,own,1,unskilled,2,yes
< 0 DM,15,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,3,25,none,own,2,skilled,1,no
< 0 DM,42,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,1,yes
unknown,36,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,4,4,25,none,own,1,skilled,1,no
1 - 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,3,1,34,none,rent,1,management,1,no
1 - 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,2,32,none,own,1,unskilled,1,no
unknown,36,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,4,23,none,rent,2,skilled,1,yes
unknown,36,good,education,0 - 10000,unknown,1 - 4 years,2,4,35,none,other,1,unskilled,2,no
1 - 200 DM,24,poor,furniture/appliances,0 - 10000,unknown,< 1 year,4,2,29,bank,own,1,unskilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,50,none,own,1,skilled,1,no
unknown,18,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,24,none,own,2,skilled,1,no
> 200 DM,24,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,20,none,rent,2,skilled,1,no
1 - 200 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,3,28,bank,own,1,unskilled,1,no
1 - 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,27,none,own,2,unskilled,1,no
unknown,6,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,1,29,none,own,1,skilled,1,no
unknown,6,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,2,30,none,rent,2,skilled,1,no
unknown,54,perfect,car,0 - 10000,unknown,1 - 4 years,2,2,39,none,own,1,unskilled,2,no
< 0 DM,24,good,car,0 - 10000,unknown,1 - 4 years,4,4,25,none,rent,1,skilled,1,yes
> 200 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,4,51,none,other,1,skilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,1,4,22,none,rent,1,skilled,1,no
> 200 DM,18,very good,furniture/appliances,0 - 10000,unknown,4 - 7 years,4,4,49,bank,own,1,unskilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,4,35,none,own,1,skilled,1,yes
unknown,36,good,education,0 - 10000,< 100 DM,1 - 4 years,4,4,37,store,other,1,skilled,1,yes
unknown,12,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,2,38,none,own,2,skilled,1,no
1 - 200 DM,30,critical,car,0 - 10000,< 100 DM,unemployed,4,2,28,none,own,2,management,1,yes
1 - 200 DM,18,good,furniture/appliances,0 - 10000,500 - 1000 DM,< 1 year,1,3,25,none,rent,1,skilled,1,no
1 - 200 DM,18,good,car,10000 - 30000,< 100 DM,unemployed,3,4,38,none,other,1,management,1,yes
unknown,36,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,2,51,none,own,1,skilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,1,26,none,own,1,skilled,1,no
unknown,15,poor,furniture/appliances,0 - 10000,> 1000 DM,4 - 7 years,3,2,30,none,own,2,skilled,1,no
1 - 200 DM,12,perfect,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,25,none,rent,2,skilled,1,yes
unknown,27,poor,car,0 - 10000,> 1000 DM,1 - 4 years,2,2,27,none,own,2,skilled,1,no
unknown,18,critical,furniture/appliances,0 - 10000,> 1000 DM,> 7 years,4,4,46,none,own,2,skilled,1,no
< 0 DM,12,very good,education,0 - 10000,< 100 DM,> 7 years,4,1,45,bank,own,1,unskilled,1,no
1 - 200 DM,26,good,car,0 - 10000,< 100 DM,< 1 year,2,3,30,none,own,2,skilled,1,no
1 - 200 DM,9,very good,car,0 - 10000,100 - 500 DM,4 - 7 years,2,3,29,none,own,1,skilled,1,yes
< 0 DM,24,good,car,0 - 10000,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,yes
1 - 200 DM,8,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,2,44,none,own,1,unskilled,1,no
< 0 DM,12,critical,car,0 - 10000,< 100 DM,> 7 years,3,4,43,none,rent,2,skilled,1,yes
unknown,27,poor,business,0 - 10000,< 100 DM,4 - 7 years,3,4,26,none,own,2,skilled,1,no
unknown,30,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,2,38,none,own,1,skilled,1,no
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,32,none,other,1,management,1,no
unknown,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,26,none,rent,1,skilled,1,no
1 - 200 DM,12,good,business,0 - 10000,100 - 500 DM,4 - 7 years,2,4,23,none,rent,1,unskilled,1,no
1 - 200 DM,30,poor,business,0 - 10000,100 - 500 DM,> 7 years,4,2,41,store,own,2,skilled,1,no
unknown,12,critical,furniture/appliances,0 - 10000,> 1000 DM,4 - 7 years,3,2,35,none,own,1,skilled,1,no
1 - 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,37,none,own,1,unskilled,2,no
> 200 DM,6,poor,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,1,29,bank,own,1,skilled,1,no
1 - 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,1,30,none,own,1,skilled,1,yes
unknown,5,good,business,0 - 10000,< 100 DM,4 - 7 years,1,4,74,none,own,1,unskilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,22,none,rent,1,skilled,1,no
> 200 DM,6,critical,education,0 - 10000,< 100 DM,1 - 4 years,2,4,50,none,own,1,unskilled,1,no
> 200 DM,30,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,47,none,own,1,skilled,1,no
1 - 200 DM,9,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,4,37,none,own,3,unskilled,1,no
1 - 200 DM,6,poor,business,0 - 10000,100 - 500 DM,> 7 years,1,2,31,bank,own,2,skilled,2,no
1 - 200 DM,24,poor,furniture/appliances,0 - 10000,< 100 DM,< 1 year,1,2,33,none,own,1,skilled,1,no
1 - 200 DM,6,poor,car,0 - 10000,< 100 DM,unemployed,4,4,47,none,own,1,management,1,yes
1 - 200 DM,12,good,furniture/appliances,0 - 10000,> 1000 DM,< 1 year,1,4,19,none,rent,1,unskilled,1,no
unknown,12,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,4,42,store,own,1,skilled,1,no
1 - 200 DM,11,good,furniture/appliances,0 - 10000,> 1000 DM,< 1 year,4,1,20,none,own,1,skilled,1,no
< 0 DM,8,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,47,none,own,2,unskilled,1,no
< 0 DM,12,poor,car,0 - 10000,< 100 DM,1 - 4 years,4,2,43,none,own,2,unskilled,2,no
< 0 DM,6,critical,car,0 - 10000,< 100 DM,1 - 4 years,1,3,37,none,rent,3,skilled,2,no
unknown,24,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,38,store,own,1,skilled,1,no
1 - 200 DM,12,good,car,0 - 10000,100 - 500 DM,< 1 year,4,2,23,bank,own,1,unskilled,1,yes
unknown,36,critical,car,0 - 10000,< 100 DM,4 - 7 years,4,4,37,none,own,2,skilled,1,no
unknown,6,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,2,29,none,rent,1,skilled,1,no
1 - 200 DM,24,poor,business,0 - 10000,unknown,1 - 4 years,4,2,37,bank,own,2,management,1,no
unknown,12,critical,business,0 - 10000,< 100 DM,1 - 4 years,3,2,27,none,own,2,skilled,1,no
1 - 200 DM,9,good,car,0 - 10000,unknown,< 1 year,4,2,35,none,own,1,unemployed,1,no
1 - 200 DM,12,good,education,0 - 10000,unknown,> 7 years,4,4,38,none,own,2,skilled,1,no
unknown,33,poor,business,0 - 10000,< 100 DM,1 - 4 years,2,2,26,none,own,2,skilled,1,no
unknown,6,good,car,0 - 10000,< 100 DM,unemployed,1,4,54,none,own,1,unemployed,1,no
< 0 DM,9,critical,car,0 - 10000,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no
unknown,12,good,car,0 - 10000,unknown,> 7 years,4,3,50,none,own,1,skilled,1,no
1 - 200 DM,48,very good,business,0 - 10000,100 - 500 DM,4 - 7 years,4,2,30,none,own,1,skilled,1,no
1 - 200 DM,36,poor,business,0 - 10000,100 - 500 DM,4 - 7 years,1,3,31,none,own,2,unskilled,2,no
unknown,4,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,1,42,none,own,2,unskilled,2,no
1 - 200 DM,21,poor,car,0 - 10000,< 100 DM,1 - 4 years,1,4,47,none,own,2,skilled,1,no
< 0 DM,28,good,car,0 - 10000,< 100 DM,1 - 4 years,3,2,45,none,own,1,unskilled,1,yes
unknown,48,good,business,0 - 10000,unknown,1 - 4 years,4,2,38,bank,own,1,skilled,1,yes
unknown,24,critical,car,0 - 10000,unknown,1 - 4 years,2,4,46,none,own,2,management,2,no
< 0 DM,21,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,65,none,own,2,skilled,1,no
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,unemployed,4,4,40,store,own,2,management,1,no
< 0 DM,20,critical,car,0 - 10000,< 100 DM,1 - 4 years,4,2,33,bank,rent,2,skilled,1,yes
unknown,36,critical,car,0 - 10000,< 100 DM,> 7 years,2,2,35,none,own,2,skilled,2,no
1 - 200 DM,27,poor,car,0 - 10000,< 100 DM,> 7 years,1,2,30,none,own,2,management,1,no
unknown,9,good,education,0 - 10000,unknown,> 7 years,1,4,64,none,own,1,unskilled,1,no
unknown,42,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,2,4,29,none,rent,1,skilled,1,no
1 - 200 DM,15,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,50,none,own,2,skilled,1,no
unknown,48,critical,car,0 - 10000,unknown,> 7 years,4,3,38,none,own,2,skilled,2,no
< 0 DM,15,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,2,27,none,own,1,skilled,1,no
1 - 200 DM,36,good,car,10000 - 30000,unknown,1 - 4 years,1,4,37,none,other,1,skilled,1,yes
< 0 DM,12,good,car,0 - 10000,< 100 DM,1 - 4 years,4,4,29,none,own,1,skilled,1,no
> 200 DM,6,critical,car,0 - 10000,< 100 DM,> 7 years,1,4,46,none,own,2,skilled,2,no
unknown,24,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,2,33,none,own,2,skilled,1,no
< 0 DM,16,critical,car,0 - 10000,< 100 DM,> 7 years,2,4,43,bank,rent,1,skilled,1,yes
1 - 200 DM,12,good,car,0 - 10000,< 100 DM,> 7 years,1,1,46,none,rent,2,skilled,1,yes
unknown,10,good,car,0 - 10000,500 - 1000 DM,1 - 4 years,3,2,40,none,rent,1,unskilled,2,no
< 0 DM,12,good,car,0 - 10000,< 100 DM,1 - 4 years,4,2,24,none,own,1,unskilled,1,yes
< 0 DM,42,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,4,3,30,none,own,1,management,1,yes
unknown,24,poor,business,0 - 10000,< 100 DM,< 1 year,2,2,27,bank,own,2,skilled,1,yes
1 - 200 DM,12,good,car,0 - 10000,< 100 DM,> 7 years,4,4,41,bank,own,1,unskilled,2,yes
unknown,24,critical,car,0 - 10000,unknown,4 - 7 years,4,4,43,none,own,2,skilled,2,no
1 - 200 DM,24,poor,business,0 - 10000,100 - 500 DM,4 - 7 years,4,4,36,none,rent,1,management,1,no
1 - 200 DM,60,poor,furniture/appliances,0 - 10000,unknown,1 - 4 years,1,1,27,none,own,1,unskilled,1,no
unknown,30,poor,business,0 - 10000,100 - 500 DM,1 - 4 years,2,2,26,none,own,2,unskilled,1,no
unknown,10,good,education,0 - 10000,unknown,4 - 7 years,4,3,40,none,own,1,skilled,1,no
> 200 DM,21,critical,education,0 - 10000,< 100 DM,< 1 year,2,1,33,none,rent,1,skilled,1,yes
unknown,24,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,2,28,none,own,1,skilled,1,no
> 200 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,no
< 0 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,1,2,36,bank,own,1,unskilled,1,no
1 - 200 DM,6,critical,education,0 - 10000,unknown,4 - 7 years,1,3,39,none,own,2,unskilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,yes
unknown,24,good,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,3,4,53,none,own,1,skilled,1,no
