checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
1 - 200 DM,48,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,yes
> 200 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,26,none,own,1,skilled,1,yes
1 - 200 DM,6,good,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,38,none,own,1,skilled,1,no
< 0 DM,6,critical,car,0 - 10000,unknown,< 1 year,1,3,44,none,own,2,unskilled,2,no
< 0 DM,18,good,car,0 - 10000,unknown,> 7 years,1,4,51,none,other,1,skilled,2,yes
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,3,2,32,none,own,1,skilled,1,no
< 0 DM,24,good,car0,0 - 10000,< 100 DM,> 7 years,4,4,58,none,own,1,unskilled,1,no
< 0 DM,36,very good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,31,bank,own,1,skilled,1,yes
unknown,36,critical,business,0 - 10000,unknown,> 7 years,4,4,36,none,own,2,skilled,1,no
1 - 200 DM,27,good,business,0 - 10000,< 100 DM,1 - 4 years,4,2,36,none,own,1,skilled,2,yes
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,27,none,own,1,skilled,1,no
1 - 200 DM,30,poor,furniture/appliances,0 - 10000,100 - 500 DM,< 1 year,4,3,30,store,own,2,management,1,yes
> 200 DM,18,good,car,0 - 10000,< 100 DM,> 7 years,3,2,23,none,own,1,management,1,no
< 0 DM,30,perfect,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,32,none,own,2,skilled,1,no
unknown,4,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,1,42,none,own,3,unskilled,2,no
unknown,18,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,28,none,own,2,skilled,1,no
> 200 DM,30,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,49,store,own,2,unskilled,1,no
1 - 200 DM,18,critical,business,0 - 10000,< 100 DM,unemployed,3,3,40,none,own,3,unemployed,2,no
> 200 DM,9,perfect,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,2,34,none,own,2,management,1,yes
unknown,48,poor,furniture/appliances,0 - 10000,unknown,> 7 years,3,3,32,bank,own,2,skilled,2,no
unknown,18,critical,education,0 - 10000,100 - 500 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,yes
1 - 200 DM,24,poor,business,0 - 10000,100 - 500 DM,4 - 7 years,4,4,36,none,rent,1,management,1,no
< 0 DM,36,good,car,0 - 10000,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,2,yes
< 0 DM,24,very good,car,0 - 10000,< 100 DM,1 - 4 years,1,4,22,bank,rent,1,skilled,1,no
unknown,60,good,car,10000 - 30000,< 100 DM,> 7 years,2,4,42,none,own,1,management,1,no
< 0 DM,36,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,46,none,own,2,skilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,3,26,bank,own,1,skilled,1,yes
< 0 DM,12,poor,car,0 - 10000,< 100 DM,1 - 4 years,4,2,43,none,own,2,unskilled,2,no
> 200 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,2,25,bank,own,1,skilled,1,no
