checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
unknown,24,critical,renovations,0 - 10000,< 100 DM,1 - 4 years,4,2,33,none,own,2,skilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,4,52,none,own,1,skilled,1,no
unknown,6,perfect,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,39,none,own,1,unskilled,1,no
< 0 DM,24,poor,car,0 - 10000,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,yes
unknown,24,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,4,26,none,own,1,skilled,1,no
> 200 DM,15,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,3,25,none,own,1,unskilled,1,yes
1 - 200 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,3,28,bank,own,1,unskilled,1,no
1 - 200 DM,9,good,car,0 - 10000,unknown,< 1 year,4,2,35,none,own,1,unemployed,1,no
unknown,24,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,35,none,own,2,unskilled,1,no
> 200 DM,24,critical,business,0 - 10000,> 1000 DM,1 - 4 years,2,4,36,none,own,2,skilled,1,no
unknown,33,critical,car,0 - 10000,< 100 DM,4 - 7 years,3,2,35,none,own,2,management,1,no
1 - 200 DM,12,good,car,0 - 10000,< 100 DM,4 - 7 years,2,2,32,none,own,1,skilled,1,no
unknown,30,very good,car,0 - 10000,unknown,unemployed,4,1,53,bank,own,1,management,1,yes
unknown,24,critical,renovations,0 - 10000,< 100 DM,> 7 years,3,4,44,none,other,2,skilled,1,no
< 0 DM,6,good,car,10000 - 30000,< 100 DM,> 7 years,1,4,68,bank,own,1,management,1,yes
1 - 200 DM,9,good,education,0 - 10000,< 100 DM,4 - 7 years,4,4,67,none,own,2,management,1,no
> 200 DM,6,good,car,0 - 10000,> 1000 DM,< 1 year,2,2,27,none,own,1,unemployed,1,no
< 0 DM,24,good,car,0 - 10000,< 100 DM,> 7 years,4,1,45,none,own,1,skilled,1,yes
unknown,24,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,2,33,none,own,2,skilled,1,no
> 200 DM,9,good,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,2,4,49,none,own,1,skilled,1,no
< 0 DM,24,good,car,0 - 10000,< 100 DM,4 - 7 years,4,4,23,none,rent,2,skilled,1,yes
1 - 200 DM,24,good,car,0 - 10000,500 - 1000 DM,< 1 year,3,4,28,none,rent,1,skilled,1,yes
unknown,36,poor,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,34,none,own,2,skilled,1,no
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,47,bank,other,2,skilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,50,none,own,1,skilled,1,no
1 - 200 DM,21,good,business,0 - 10000,100 - 500 DM,> 7 years,4,2,61,bank,rent,2,unskilled,1,yes
unknown,12,critical,car,0 - 10000,500 - 1000 DM,1 - 4 years,4,4,44,none,own,1,skilled,1,no
< 0 DM,36,good,education,0 - 10000,unknown,> 7 years,4,4,40,none,own,1,management,1,yes
< 0 DM,36,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,4,23,none,rent,2,unskilled,1,yes
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,4,21,none,rent,1,unskilled,2,yes
< 0 DM,6,critical,furniture/appliances,0 - 10000,< 100 DM,unemployed,4,4,36,none,other,3,management,1,no
unknown,15,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,3,24,bank,own,2,skilled,1,no
unknown,15,very good,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,4,4,34,bank,own,1,unskilled,2,no
< 0 DM,12,good,education,0 - 10000,< 100 DM,1 - 4 years,4,4,40,none,rent,1,unskilled,2,yes
unknown,11,critical,car,0 - 10000,< 100 DM,1 - 4 years,1,4,39,none,own,2,unskilled,1,no
1 - 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,25,none,own,1,unskilled,1,no
> 200 DM,24,good,car,0 - 10000,< 100 DM,4 - 7 years,4,3,38,bank,other,1,skilled,2,yes
1 - 200 DM,24,critical,car,0 - 10000,> 1000 DM,> 7 years,2,4,29,none,rent,1,skilled,1,no
unknown,18,critical,car,0 - 10000,< 100 DM,1 - 4 years,3,2,32,bank,own,2,skilled,1,yes
< 0 DM,24,very good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,1,55,bank,own,1,skilled,1,yes
< 0 DM,12,good,car,0 - 10000,unknown,1 - 4 years,4,2,23,none,own,1,skilled,1,yes
unknown,39,good,car,0 - 10000,500 - 1000 DM,1 - 4 years,4,4,24,none,own,1,skilled,1,no
1 - 200 DM,30,good,furniture/appliances,0 - 10000,100 - 500 DM,1 - 4 years,2,4,21,none,rent,1,skilled,1,yes
< 0 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,2,42,none,own,1,skilled,2,yes
< 0 DM,42,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,4,3,30,none,own,1,management,1,yes
unknown,18,critical,car,0 - 10000,< 100 DM,1 - 4 years,4,3,36,none,own,2,skilled,1,no
1 - 200 DM,13,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,4,23,none,own,2,skilled,1,no
1 - 200 DM,60,very good,car0,10000 - 30000,100 - 500 DM,> 7 years,3,4,60,bank,other,2,management,1,yes
> 200 DM,12,poor,car,0 - 10000,< 100 DM,1 - 4 years,2,2,36,store,own,2,skilled,1,no
unknown,24,poor,business,0 - 10000,500 - 1000 DM,1 - 4 years,4,2,44,none,own,2,skilled,2,no
unknown,9,good,car,0 - 10000,100 - 500 DM,1 - 4 years,1,2,26,none,rent,1,skilled,2,no
< 0 DM,27,critical,business,0 - 10000,< 100 DM,> 7 years,4,4,43,store,own,4,management,2,no
< 0 DM,15,good,car,0 - 10000,< 100 DM,unemployed,1,4,23,none,rent,1,skilled,1,no
unknown,6,good,car,0 - 10000,500 - 1000 DM,1 - 4 years,2,4,50,none,rent,1,skilled,1,no
1 - 200 DM,12,perfect,education,0 - 10000,< 100 DM,1 - 4 years,2,2,31,none,own,1,unskilled,1,no
1 - 200 DM,7,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,35,none,own,1,skilled,1,no
1 - 200 DM,8,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no
< 0 DM,21,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,65,none,own,2,skilled,1,no
< 0 DM,12,critical,car,0 - 10000,< 100 DM,> 7 years,4,3,35,none,own,2,skilled,1,yes
unknown,12,critical,business,0 - 10000,unknown,> 7 years,4,4,57,none,rent,1,unskilled,1,no
1 - 200 DM,6,poor,car,0 - 10000,< 100 DM,unemployed,4,4,47,none,own,1,management,1,yes
1 - 200 DM,30,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,2,49,none,own,1,skilled,1,yes
1 - 200 DM,27,perfect,business,0 - 10000,< 100 DM,> 7 years,2,4,42,none,other,2,management,1,yes
unknown,36,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,28,none,own,1,management,1,yes
1 - 200 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,20,none,own,1,skilled,1,no
unknown,6,poor,business,0 - 10000,100 - 500 DM,1 - 4 years,1,2,34,none,own,2,unskilled,1,no
1 - 200 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,3,64,none,own,1,skilled,1,no
1 - 200 DM,7,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,34,none,own,1,skilled,1,no
> 200 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,no
1 - 200 DM,30,perfect,business,0 - 10000,< 100 DM,1 - 4 years,2,1,28,none,own,2,skilled,1,no
< 0 DM,15,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,46,none,rent,1,skilled,1,no
1 - 200 DM,36,good,renovations,0 - 10000,< 100 DM,< 1 year,4,1,33,none,rent,1,unskilled,1,yes
< 0 DM,24,very good,business,0 - 10000,< 100 DM,1 - 4 years,4,2,31,none,rent,1,skilled,1,yes
1 - 200 DM,14,good,business,0 - 10000,500 - 1000 DM,> 7 years,1,2,35,none,own,1,skilled,1,no
unknown,36,perfect,renovations,0 - 10000,< 100 DM,1 - 4 years,4,2,27,none,own,2,skilled,1,no
unknown,20,critical,car,0 - 10000,unknown,< 1 year,2,4,44,none,own,2,skilled,1,no
1 - 200 DM,45,good,furniture/appliances,0 - 10000,100 - 500 DM,1 - 4 years,4,4,21,none,rent,1,skilled,1,yes
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,32,none,other,1,management,1,no
1 - 200 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,4,24,none,rent,1,skilled,1,no
unknown,15,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,4,2,40,none,rent,1,skilled,1,no
< 0 DM,12,perfect,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,28,none,rent,2,skilled,1,yes
unknown,6,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,1,29,none,own,1,skilled,1,no
unknown,9,critical,education,0 - 10000,500 - 1000 DM,> 7 years,4,2,52,none,own,2,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,3,30,none,own,1,skilled,1,no
unknown,42,critical,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,4,4,36,none,own,2,skilled,1,no
< 0 DM,30,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,4,23,none,rent,1,skilled,1,yes
1 - 200 DM,48,poor,business,0 - 10000,unknown,1 - 4 years,4,4,38,none,other,1,skilled,2,no
1 - 200 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,3,43,none,own,1,skilled,1,yes
< 0 DM,30,critical,car,10000 - 30000,< 100 DM,> 7 years,3,4,38,none,other,3,management,2,no
unknown,24,good,car,0 - 10000,100 - 500 DM,< 1 year,4,3,33,none,own,1,skilled,1,no
unknown,21,critical,car,0 - 10000,< 100 DM,> 7 years,1,4,36,none,own,1,management,1,no
> 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,1,2,46,none,own,1,unskilled,1,no
1 - 200 DM,24,good,car,0 - 10000,< 100 DM,< 1 year,4,1,26,none,own,1,skilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,55,none,own,1,skilled,1,no
< 0 DM,18,good,car,0 - 10000,< 100 DM,< 1 year,4,3,23,none,rent,1,skilled,1,yes
unknown,15,good,education,0 - 10000,100 - 500 DM,1 - 4 years,3,2,40,none,own,1,management,1,yes
< 0 DM,18,good,car,0 - 10000,100 - 500 DM,4 - 7 years,4,3,30,none,own,1,management,2,no
< 0 DM,18,good,car,0 - 10000,< 100 DM,< 1 year,1,2,23,none,own,1,unskilled,1,yes
1 - 200 DM,18,poor,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,3,40,none,own,1,management,1,yes
> 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,28,none,own,1,unskilled,1,yes
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,32,none,own,1,skilled,1,yes
unknown,15,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,46,none,own,2,skilled,1,no
unknown,28,very good,car,0 - 10000,unknown,< 1 year,3,4,40,bank,rent,2,skilled,2,no
unknown,12,good,business,0 - 10000,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,no
< 0 DM,18,critical,car,0 - 10000,< 100 DM,> 7 years,2,4,36,none,other,3,management,1,no
< 0 DM,30,perfect,business,0 - 10000,unknown,< 1 year,2,3,25,bank,own,3,skilled,1,no
< 0 DM,12,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,3,60,none,own,2,skilled,1,yes
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,unemployed,3,4,22,none,rent,1,skilled,1,yes
1 - 200 DM,24,good,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,4,4,30,none,other,1,skilled,1,no
unknown,22,good,car,0 - 10000,unknown,4 - 7 years,4,4,25,none,rent,1,skilled,1,no
1 - 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,2,4,40,none,rent,1,skilled,1,no
> 200 DM,21,critical,education,0 - 10000,< 100 DM,< 1 year,2,1,33,none,rent,1,skilled,1,yes
unknown,27,critical,furniture/appliances,0 - 10000,> 1000 DM,< 1 year,4,2,32,store,own,2,unskilled,2,no
1 - 200 DM,21,critical,business,0 - 10000,< 100 DM,4 - 7 years,2,3,27,none,own,2,skilled,1,no
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,4,43,none,own,1,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,3,1,35,none,own,1,skilled,1,no
> 200 DM,15,good,education,0 - 10000,< 100 DM,> 7 years,4,4,40,none,rent,1,management,1,no
1 - 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,25,none,own,1,skilled,1,no
1 - 200 DM,15,critical,business,0 - 10000,500 - 1000 DM,1 - 4 years,2,4,27,bank,own,1,skilled,1,no
unknown,15,critical,car,0 - 10000,unknown,> 7 years,1,4,59,none,own,1,skilled,1,no
unknown,30,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,1,23,bank,own,1,skilled,1,no
1 - 200 DM,24,critical,business,0 - 10000,unknown,4 - 7 years,4,3,34,none,own,2,skilled,2,no
1 - 200 DM,36,poor,car,0 - 10000,< 100 DM,1 - 4 years,2,2,54,none,rent,1,skilled,1,no
1 - 200 DM,30,good,car,0 - 10000,< 100 DM,1 - 4 years,4,2,24,bank,own,1,skilled,1,yes
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,2,39,none,rent,1,management,1,yes
unknown,10,good,car,0 - 10000,unknown,1 - 4 years,4,4,27,none,own,1,unskilled,1,yes
unknown,36,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,4,23,none,rent,2,skilled,1,yes
< 0 DM,12,good,furniture/appliances,0 - 10000,100 - 500 DM,< 1 year,4,3,33,none,own,1,unskilled,1,yes
unknown,10,good,car,0 - 10000,< 100 DM,1 - 4 years,3,2,31,none,own,1,unskilled,2,no
1 - 200 DM,24,good,car,0 - 10000,< 100 DM,1 - 4 years,3,4,20,none,rent,1,unskilled,1,yes
1 - 200 DM,11,critical,car,0 - 10000,> 1000 DM,1 - 4 years,4,4,40,none,own,2,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,100 - 500 DM,4 - 7 years,4,1,20,none,own,1,skilled,1,yes
< 0 DM,48,perfect,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,yes
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,4,31,none,own,1,unskilled,1,no
unknown,36,poor,furniture/appliances,0 - 10000,500 - 1000 DM,4 - 7 years,2,4,40,none,own,2,skilled,1,no
1 - 200 DM,18,good,car,0 - 10000,< 100 DM,4 - 7 years,3,3,28,none,rent,1,unskilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,25,bank,rent,2,skilled,1,yes
< 0 DM,10,critical,car,0 - 10000,< 100 DM,< 1 year,1,3,48,none,rent,2,unskilled,2,no
< 0 DM,24,good,car,0 - 10000,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,yes
< 0 DM,48,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,1,1,34,none,own,2,skilled,1,yes
unknown,24,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,1,32,bank,own,1,skilled,2,no
1 - 200 DM,48,good,car0,0 - 10000,unknown,unemployed,3,4,40,bank,other,1,unemployed,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,100 - 500 DM,unemployed,1,1,33,none,own,1,skilled,1,yes
unknown,36,poor,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,26,none,own,2,management,1,yes
< 0 DM,24,very good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,4,27,bank,own,1,skilled,1,yes
> 200 DM,12,critical,car,0 - 10000,500 - 1000 DM,unemployed,2,4,66,bank,other,3,unemployed,1,no
unknown,12,good,car,0 - 10000,500 - 1000 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,yes
1 - 200 DM,48,good,car,0 - 10000,100 - 500 DM,4 - 7 years,3,2,24,none,own,1,skilled,1,yes
1 - 200 DM,12,good,education,0 - 10000,unknown,> 7 years,4,4,38,none,own,2,skilled,1,no
< 0 DM,48,good,education,0 - 10000,< 100 DM,4 - 7 years,4,1,50,none,other,1,management,1,no
< 0 DM,60,poor,business,0 - 10000,< 100 DM,> 7 years,3,4,63,none,own,2,skilled,1,yes
> 200 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,4,26,none,own,1,skilled,1,no
< 0 DM,21,poor,education,0 - 10000,< 100 DM,< 1 year,2,1,26,none,own,2,skilled,1,yes
unknown,18,very good,car,0 - 10000,< 100 DM,> 7 years,2,4,39,bank,own,2,management,2,yes
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,24,none,rent,1,unskilled,1,no
unknown,6,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,1,2,24,none,rent,2,skilled,1,no
1 - 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,3,40,bank,own,2,unskilled,1,no
1 - 200 DM,9,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,3,35,none,rent,1,skilled,1,no
1 - 200 DM,12,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,3,26,none,own,1,skilled,1,no
unknown,10,critical,furniture/appliances,0 - 10000,unknown,1 - 4 years,2,1,26,none,own,2,skilled,1,no
